Wii-U Title Keys
----------------

d7b00402659ba2abd2cb0db27fa2b656 # Common
805e6285cd487de0faffaa65a6985e17 # Espresso Ancast

e44b226422eb84923c05ccddc62ad487 # Adventure Time: Explore the Dungeon Because I DON'T KNOW! [USA, NUS]
fa005119b635f34afeab081fd394f787 # Adventure Time: Explore the Dungeon Because I DON'T KNOW! [USA, WUD]
fcd7abaf2d9fb23fadf89b6c2735e4d3 # Angry Birds Star Wars [EUR, NUS]
2aa9774322e92b25704b67cdc905e6e9 # Angry Birds Star Wars [EUR, WUD]
4e330266ba3feba347e186ac499ba64e # Angry Birds Star Wars [USA, NUS]
58cb15e60f95130419fe191053b3dc26 # Angry Birds Star Wars [USA, WUD]
dbe93d38ecca2022644560788c7842c1 # Angry Birds Trilogy [EUR, NUS]
29858aa7f788de0f391ce445f6541efd # Angry Birds Trilogy [EUR, WUD]
8a52440a2293872e4fbe8b168c284410 # Art Academy: Atelier [EUR, NUS]
ed9866b36a2f08ac1f7fc42d37726ab8 # Art Academy: Atelier [EUR, WUD]
548aae79b8cf9a78c7f997abb135d1c6 # Assassin's Creed III [EUR, NUS]
2418ce5ed5d2b4255f4538398dd50533 # Assassin's Creed III [EUR, WUD]
a529987345aff0ac4256c76aea370a0a # Assassin's Creed IV: Black Flag [EUR, NUS]
bf9d4229ce4224160273aca9a1ac9fc9 # Assassin's Creed IV: Black Flag [EUR, WUD]
17d3de2473c9e3727b43f236d9039ed7 # Barbie Dreamhouse Party [EUR, NUS]
9e9f15e7447e5291028be7e90d7546b6 # Barbie Dreamhouse Party [EUR, WUD]
50fe00e979a98f25f9e5ae06ba7bb440 # Batman: Arkham Origins [USA, NUS]
2b08c21c6bf82abacbd55ce2d395e641 # Batman: Arkham Origins [USA, WUD]
d5bf0363083a2e2554d966bf3a0d0d5e # Bayonetta 2 [USA, NUS]
33fbca056ff816070156cb917a9f32e7 # Bayonetta 2 [USA, WUD]
b9cab6ca99e9be8be72cbd566b1bbbb8 # Bayonetta [EUR, NUS]
16a566ec4c3b70c1c8ceb6161a03d584 # Bayonetta [EUR, WUD]
13eff83747b473730cc04393be03b07f # Bayonetta [USA, NUS]
fd196bda8f6c5d066a72aa5bbc47bfb6 # Bayonetta [USA, WUD]
e036df624bfd34043e565eb8d20da427 # Ben 10: Omniverse 2 [EUR, NUS]
0a3bb62d36d58bbc28bf0c35e6a21fa1 # Ben 10: Omniverse 2 [EUR, WUD]
77d9b179a2f20048bafb65a336f8c583 # Ben 10: Omniverse 2 [USA, NUS]
2e45d889b86a79ee908e5a6d184a2191 # Ben 10: Omniverse 2 [USA, WUD]
0c235fabf6bd7d6f7de2dfb0d1f65e0c # Ben 10: Omniverse [EUR, NUS]
82bec6548650fd19723dbad0bfe36a89 # Ben 10: Omniverse [EUR, WUD]
7092878593502e59e62b3b75de3de8b4 # Ben 10: Omniverse [USA, NUS]
f56a6aff51d08844a9d5d7f41007fc05 # Ben 10: Omniverse [USA, WUD]
5e5167e3789ed873d4eb590fb332162f # Call of Duty: Ghosts [EUR, NUS]
de1903d6f204ca6a3a2fe8bf656da3b8 # Call of Duty: Ghosts [EUR, WUD]
28107eb9b621a317aaf1fe683fbc3c29 # Call of Duty: Ghosts [USA, NUS]
28512a78013b127e418f02a1f45efb99 # Call of Duty: Ghosts [USA, WUD]
4f72a299b800c62489a43e8fff227e19 # Captain Toad Treasure Tracker [EUR, NUS]
c253b04725c95c344ac158e7c5c93a48 # Captain Toad Treasure Tracker [EUR, WUD]
2ba6b0db191a15cf9ecd150ccbf2a02f # Captain Toad Treasure Tracker [USA, NUS]
ec2eff7e309abc8510d5c023bd35061c # Captain Toad Treasure Tracker [USA, WUD]
3bef3fb2ef5b22e1b3a73fc4f80660a4 # Darksiders II [EUR, NUS]
7c2cb2eb3b4309e3fccc6e602b9d2946 # Darksiders II [EUR, WUD]
e28ab4923fb522a62f1b32b07c3bf13c # Deus Ex: Human Revolution - Directors Cut [EUR, NUS]
50e694367e63233fecc76609e2229b65 # Deus Ex: Human Revolution - Directors Cut [EUR, WUD]
5128956b203eb4ad7fd97c77ea31adec # Devil's Third [EUR, NUS]
92bedf1789cc99d9d94ff7c8c99358c3 # Devil's Third [EUR, WUD]
2192a1cbaed3d29933d359edc5a53d3b # Disney Epic Mickey 2 [USA, NUS]
6c2e39e4146816f73be0d03d7ea984ae # Disney Epic Mickey 2 [USA, WUD]
4ce3feeb4c184d1e2dbe187b49837e93 # Disney Infinity 2.0 Marvel Super Heroes [EUR, NUS]
be85341f2fa8a3a10ed79fc68ae1ca91 # Disney Infinity 2.0 Marvel Super Heroes [EUR, WUD]
fd5218d4c86ca8111925ad7780e720c1 # Disney Planes [USA, NUS]
7c93cb4c99ea5471108749b803efddaf # Disney Planes [USA, WUD]
11cee7f2ee6272974c530c4121a0191d # Donkey Kong Country: Tropical Freeze [EUR, NUS]
1658ad6a6101b5e3b305693255f47a5d # Donkey Kong Country: Tropical Freeze [EUR, WUD]
c18be238ca2e039961fa32e453a415cc # Donkey Kong Country: Tropical Freeze [USA, NUS]
77f51431746983aea501d1eacb8daf54 # Donkey Kong Country: Tropical Freeze [USA, WUD]
e082b97981fac02cad32c783bf16a555 # DuckTales: Remastered [USA, NUS]
85de1b56166d1c02975c6cd18d860e6e # DuckTales: Remastered [USA, WUD]
7de26bbba768735f75d7342d42fdd37c # ESPN Sports Connection [USA, NUS]
31f987636ffe9dcd909cf6ab8615f979 # ESPN Sports Connection [USA, WUD]
27b5db268a3d3ffb6231d2afcdab058f # FIFA 13 [EUR, NUS]
ddbbf08bea0402434bd838bc001cfe08 # FIFA 13 [EUR, WUD]
4a0ce182bb53c237490a8553c2c39c5b # FIFA 13 [USA, NUS]
4f2e852079006a2dbaa5a1b2fe495b53 # FIFA 13 [USA, WUD]
fa37b75fd0de03d2a297471477066c7c # Family Party: 30 Great Games Obstacle Arcade [USA, NUS]
1d474d9d50a0b8ef985f1d70cf864f13 # Family Party: 30 Great Games Obstacle Arcade [USA, WUD]
76293f2a744fe809bc3bf1b8a50a67ef # Fast and Furious: Showdown [EUR, NUS]
84086a1950ea1bb4466b29383d406203 # Fast and Furious: Showdown [EUR, WUD]
5eb41c3d5b17bafb66f4a117c864c434 # Fast and Furious: Showdown [USA, NUS]
e7211e4429e577aa5a1926bfd8d2ac16 # Fast and Furious: Showdown [USA, WUD]
a096f20f1b44aae4fb99a0fa3c15f622 # Game & Wario [USA, NUS]
694a029c585908e2ee50d1dd312537ad # Game & Wario [USA, WUD]
47092e88d6dd5ad2ebbaa4f3e6e4bf51 # Game Party Champions [EUR, NUS]
49b33d9232b5fc83851879d21fadbf54 # Game Party Champions [EUR, WUD]
a908126b0fd052e71a63c5d7bc9e46ca # Game Party Champions [USA, NUS]
40a732a56b394b3b007e2ed98bb85363 # Game Party Champions [USA, WUD]
279e6f438e06ee904db42d33b11ff0b1 # Hello Kitty Kruisers [USA, NUS]
8c2e63131c945f410335fed95541020e # Hello Kitty Kruisers [USA, WUD]
ea87266e5797a08fcd46c642af33214b # Hot Wheels: World's Best Driver [USA, NUS]
34c3a3922ee522bdffd96777e5f38b2b # Hot Wheels: World's Best Driver [USA, WUD]
4544a2a5c8e0d4d25ead0bd38efe0e7e # How To Train Your Dragon 2 [EUR, NUS]
f436867a48ccf48de874d968a35452f3 # How To Train Your Dragon 2 [EUR, WUD]
1b041837d5ca9b1cfb3ade8eeed8665d # Hyrule Warriors [EUR, NUS]
2aa5ebb4ca3d84daf571c851444ffdde # Hyrule Warriors [EUR, WUD]
3048e7ad2165405b08d8aae736f5b7a1 # Hyrule Warriors [USA, NUS]
485cb78a3a34ca6915bd2a4f645a52c4 # Hyrule Warriors [USA, WUD]
d307374445b255df4d292bd490340a5f # Injustice: Gods Among Us [EUR, NUS]
c186f2ee3ce0e4abf395846d3295e140 # Injustice: Gods Among Us [EUR, WUD]
2bd9030631398c67a3261c39a96d01de # Just Dance 2014 [USA, NUS]
2432b8672c625cda87a21cc2db89a971 # Just Dance 2014 [USA, WUD]
